,u,i
31397,2434,1479
31398,2910,1408
31399,1444,740
31400,816,417
31401,1215,688
31402,876,1222
31403,2211,2373
31404,3491,407
31405,1815,2373
31406,1462,565
31407,2867,957
31408,2081,802
31409,3292,197
31410,427,83
31411,93,961
31412,528,889
31413,1708,971
31414,801,1987
31415,2585,1244
31416,4142,2030
31417,4345,1635
31418,2113,2188
31419,303,1710
31420,4327,1029
31421,2764,428
31422,959,294
31423,4001,1044
31424,11,1309
31425,3063,495
31426,924,1239
31427,826,704
31428,3159,957
31429,430,704
31430,4630,1969
31431,2966,562
31432,4345,1985
31433,3872,75
31434,2473,629
31435,642,1526
31436,4145,1173
31437,3561,1122
31438,3150,90
31439,4027,363
31440,402,1315
31441,4498,2200
31442,3361,310
31443,3514,1306
31444,4391,1579
31445,1192,2343
31446,4831,1851
31447,3432,2405
31448,490,381
31449,3679,2282
31450,1771,1269
31451,4536,1179
31452,2393,269
31453,4721,178
31454,4325,178
31455,2489,731
31456,1080,597
31457,1243,2281
31458,3194,1486
31459,439,12
31460,4577,399
31461,363,956
31462,2753,1743
31463,2352,1399
31464,1863,1208
31465,793,540
31466,4695,2340
31467,2224,2153
31468,758,1485
31469,305,951
31470,609,1362
31471,4310,1748
31472,4244,1128
31473,2230,2318
31474,3861,609
31475,1963,284
31476,4461,2294
31477,753,1491
31478,3399,2241
31479,534,2127
31480,185,1973
31481,71,905
31482,1470,351
31483,3675,1358
31484,2703,1225
31485,3047,1035
31486,4609,2165
31487,2713,1913
31488,4451,825
31489,1302,1706
31490,1830,1825
31491,4507,1888
31492,749,968
31493,4887,1355
31494,1960,363
31495,3790,2247
31496,452,223
31497,4123,1898
31498,432,2200
31499,79,392
31500,1787,593
31501,2948,1379
31502,2315,712
31503,4653,1309
31504,914,1193
31505,2698,450
31506,2010,830
31507,3180,224
31508,4473,1873
31509,3780,1909
31510,2895,240
31511,735,2359
31512,4868,2402
31513,3392,1046
31514,3842,2006
31515,2811,1266
31516,3587,733
31517,2675,1405
31518,4545,436
31519,2771,1867
31520,4493,246
31521,1310,1543
31522,1557,1420
31523,1710,2416
31524,3798,2084
31525,1341,75
31526,3168,1688
31527,23,59
31528,931,1897
31529,3207,1616
31530,2137,948
31531,4377,1010
31532,3642,1544
31533,2675,1755
31534,2704,995
31535,3998,2145
31536,1071,1153
31537,1542,738
31538,516,342
31539,1691,80
31540,3346,1401
31541,2219,199
31542,4531,1827
31543,2716,1005
31544,2290,2294
31545,4403,329
31546,3501,1689
31547,3341,276
31548,2100,2170
31549,2475,1293
31550,911,90
31551,3306,1221
31552,1506,1431
31553,198,2103
31554,1313,1036
31555,3214,1632
31556,5,1708
31557,626,106
31558,4415,339
31559,4542,2366
31560,4485,1832
31561,1462,378
31562,3451,821
31563,1093,2201
31564,2081,615
31565,3369,1920
31566,2237,374
31567,4477,436
31568,36,240
31569,3697,1227
31570,2262,2124
31571,1554,317
31572,3944,1104
31573,3913,1791
31574,365,2401
31575,2139,970
31576,360,2057
31577,2954,365
31578,2456,2340
31579,11,1122
31580,2010,2253
31581,945,1929
31582,1755,980
31583,2606,2284
31584,801,2150
31585,3036,1868
31586,3960,1987
31587,145,533
31588,514,2093
31589,545,1406
31590,3458,56
31591,2592,1073
31592,4300,1274
31593,3904,1274
31594,8,420
31595,223,2294
31596,3862,1802
31597,2895,2013
31598,3330,1941
31599,1489,2150
31600,3849,62
31601,1371,1340
31602,4012,1746
31603,2613,2300
31604,1653,272
31605,2704,2418
31606,3817,1278
31607,4577,212
31608,3660,540
31609,1475,939
31610,4167,2034
31611,3720,1345
31612,2326,2243
31613,1920,1555
31614,1732,1504
31615,4337,1
31616,2886,365
31617,174,1247
31618,2450,966
31619,4747,1562
31620,2844,893
31621,4619,2316
31622,2850,1839
31623,3655,546
31624,1881,1977
31625,749,431
31626,759,1119
31627,702,585
31628,1347,2043
31629,2405,442
31630,4511,2224
31631,1964,699
31632,3829,1638
31633,2425,1848
31634,61,30
31635,2461,1505
31636,2901,1777
31637,3727,1361
31638,1211,1401
31639,908,1592
31640,2742,966
31641,4507,1701
31642,220,1191
31643,4134,1870
31644,4215,1300
31645,123,1258
31646,467,1068
31647,3873,782
31648,1734,1526
31649,1980,801
31650,273,1202
31651,2477,1607
31652,1505,1474
31653,247,2233
31654,1047,596
31655,109,2299
31656,3841,1998
31657,3872,1311
31658,611,1197
31659,3185,381
31660,4215,1650
31661,975,2413
31662,2754,1326
31663,3867,186
31664,3392,859
31665,3842,1819
31666,4146,2230
31667,3542,803
31668,1253,822
31669,351,2182
31670,1208,1079
31671,4783,2292
31672,956,77
31673,4290,2359
31674,4577,1635
31675,3192,397
31676,363,2192
31677,275,93
31678,4003,2302
31679,3941,1424
31680,2542,1978
31681,613,88
31682,1050,89
31683,4250,2179
31684,4563,424
31685,1977,479
31686,4279,1419
31687,2916,1630
31688,2635,1388
31689,4192,2174
31690,1327,2060
31691,3897,1502
31692,4838,70
31693,3835,624
31694,158,1386
31695,2322,110
31696,3778,90
31697,4736,2045
31698,123,2331
31699,1404,967
31700,836,1449
31701,1123,725
31702,815,572
31703,4665,300
31704,4768,1179
31705,3856,1851
31706,3424,2194
31707,2739,1337
31708,2892,2333
31709,3174,1265
31710,4736,2395
31711,3645,850
31712,498,1804
31713,2447,936
31714,1712,1470
31715,3486,39
31716,3983,845
31717,1858,541
31718,493,679
31719,1477,1603
31720,888,1208
31721,2794,2148
31722,2820,1117
31723,3904,737
31724,4406,1887
31725,258,812
31726,3995,855
31727,361,1691
31728,2109,1291
31729,690,469
31730,1755,793
31731,99,1
31732,3653,337
31733,1473,1080
31734,470,1634
31735,3379,2020
31736,3405,989
31737,2340,665
31738,2618,2107
31739,3647,522
31740,2582,198
31741,4493,1482
31742,2490,609
31743,2216,2292
31744,557,1229
31745,2406,1635
31746,2427,260
31747,1336,967
31748,1766,551
31749,3567,943
31750,1731,1496
31751,1491,1255
31752,4158,630
31753,899,2097
31754,1243,1907
31755,4629,215
31756,2351,423
31757,3796,214
31758,983,290
31759,4756,2242
31760,3417,1349
31761,3229,1298
31762,4352,846
31763,18,1301
31764,3192,2170
31765,2942,1241
31766,2374,1723
31767,1634,1913
31768,569,1589
31769,3320,635
31770,6,2415
31771,1446,1862
31772,3629,1390
31773,4178,2386
31774,2030,1132
31775,4337,164
31776,815,1995
31777,1436,393
31778,4834,970
31779,3774,990
31780,472,875
31781,4799,1915
31782,2328,1728
31783,4886,379
31784,4552,1257
31785,2021,265
31786,2114,456
31787,2112,383
31788,3333,466
31789,4816,2269
31790,3329,724
31791,4129,1339
31792,3733,1339
31793,827,1224
31794,519,1071
31795,3170,2165
31796,4199,580
31797,4027,1062
31798,4904,1335
31799,1144,342
31800,3873,595
31801,2099,2026
31802,3097,1128
31803,4652,333
31804,3912,523
31805,4349,524
31806,3463,2417
31807,4120,472
31808,3836,1467
31809,1377,2041
31810,3028,1708
31811,4268,343
31812,4426,1683
31813,4087,2217
31814,4400,462
31815,1222,2103
31816,33,23
31817,962,486
31818,3587,359
31819,1459,1292
31820,3120,1647
31821,1654,979
31822,565,1015
31823,245,845
31824,2526,908
31825,4417,816
31826,2983,2315
31827,3299,831
31828,2239,851
31829,3848,1827
31830,3765,72
31831,2173,231
31832,2331,1571
31833,2572,502
31834,3449,775
31835,4003,2115
31836,2814,35
31837,4870,1700
31838,1133,1657
31839,3352,842
31840,1891,518
31841,4563,237
31842,984,1534
31843,3317,1787
31844,3255,909
31845,1080,1996
31846,1515,1924
31847,1255,307
31848,2994,2073
31849,4874,1792
31850,142,666
31851,2439,1262
31852,431,45
31853,475,317
31854,1378,1811
31855,2641,1396
31856,4459,237
31857,4830,1870
31858,3261,323
31859,4706,114
31860,57,743
31861,2796,1684
31862,4518,63
31863,1606,133
31864,2108,1283
31865,2082,62
31866,745,1494
31867,1636,2227
31868,1052,2176
31869,641,1144
31870,11,748
31871,3156,2377
31872,391,215
31873,1284,1021
31874,4062,1890
31875,3406,273
31876,510,846
31877,2900,1633
31878,699,1499
31879,3340,1905
31880,4207,1490
31881,1416,359
31882,2068,2234
31883,1908,821
31884,4423,2054
31885,3652,679
31886,4170,2362
31887,4431,417
31888,2490,422
31889,2156,1300
31890,2397,231
31891,3331,1038
31892,1433,713
31893,34,1267
31894,526,1729
31895,4700,1773
31896,2644,108
31897,3335,1911
31898,4135,274
31899,1239,847
31900,468,1724
31901,3637,2249
31902,4017,1716
31903,2608,1582
31904,767,1791
31905,2176,1925
31906,4781,422
31907,899,1910
31908,111,174
31909,3848,217
31910,952,790
31911,3223,165
31912,2660,991
31913,4105,782
31914,2598,113
31915,2818,2331
31916,4034,2070
31917,2563,1058
31918,2198,371
31919,4505,1655
31920,3106,2209
31921,4870,90
31922,3307,1741
31923,3814,983
31924,1291,606
31925,4398,253
31926,1753,2357
31927,2030,945
31928,256,124
31929,3952,166
31930,2907,1218
31931,3779,1147
31932,1005,1151
31933,3636,869
31934,1841,1423
31935,4570,1676
31936,2646,130
31937,4036,1742
31938,3917,330
31939,3390,813
31940,2421,951
31941,3230,531
31942,2287,1890
31943,2600,135
31944,795,1
31945,3441,751
31946,1359,2029
31947,669,828
31948,2852,356
31949,2503,202
31950,3406,1696
31951,1570,2249
31952,2416,957
31953,3713,2378
31954,233,648
31955,1967,2070
31956,162,1936
31957,3899,1979
31958,1029,1521
31959,1839,572
31960,1397,227
31961,1904,1721
31962,880,1398
31963,3120,1460
31964,2709,428
31965,3916,2333
31966,146,652
31967,1059,582
31968,3798,1523
31969,1494,510
31970,4223,763
31971,2834,2005
31972,2731,1126
31973,835,874
31974,3223,1588
31975,4100,1861
31976,4038,983
31977,2035,110
31978,2912,383
31979,4438,1856
31980,3378,1876
31981,3383,2220
31982,2841,1671
31983,4721,1390
31984,1471,1465
31985,2761,187
31986,2783,1666
31987,937,1531
31988,3989,717
31989,2598,1886
31990,3025,1199
31991,973,407
31992,3029,2072
31993,3337,2225
31994,1496,182
31995,780,12
31996,1339,1696
31997,3706,1533
31998,2143,932
31999,1036,1106
32000,1179,1414
32001,3758,942
32002,1374,1101
32003,2580,152
32004,462,1773
32005,3144,2180
32006,2702,1835
32007,3376,1025
32008,2472,2312
32009,2857,2123
32010,4287,882
32011,2631,90
32012,2038,2205
32013,4299,892
32014,546,316
32015,4278,15
32016,2874,225
32017,505,315
32018,1874,1050
32019,2648,444
32020,848,654
32021,2780,563
32022,417,1599
32023,1346,2062
32024,3638,2314
32025,1657,234
32026,1865,183
32027,122,927
32028,1526,717
32029,2701,455
32030,2515,1985
32031,1895,2277
32032,4352,122
32033,1869,1056
32034,3659,158
32035,2767,2206
32036,1301,1538
32037,3541,1600
32038,843,660
32039,3567,569
32040,808,1605
32041,3444,1667
32042,3848,30
32043,3352,2078
32044,988,260
32045,3696,1888
32046,50,1963
32047,4556,1056
32048,3537,1077
32049,1008,1666
32050,292,1496
32051,4461,1196
32052,2568,1215
32053,4338,2294
32054,4255,539
32055,3343,1211
32056,543,2246
32057,127,870
32058,2814,1621
32059,1030,2364
32060,968,1486
32061,2184,1225
32062,374,747
32063,1189,142
32064,349,2380
32065,3805,2181
32066,1436,19
32067,4165,272
32068,3461,2371
32069,3829,1077
32070,2034,1631
32071,3302,1560
32072,3677,683
32073,1492,1082
32074,968,1836
32075,1338,615
32076,3452,1504
32077,1981,492
32078,489,855
32079,740,2386
32080,2928,2258
32081,3795,1843
32082,1949,1708
32083,233,111
32084,4534,2182
32085,1394,897
32086,3477,221
32087,638,1328
32088,294,1518
32089,2966,1237
32090,3310,1047
32091,2913,1576
32092,545,2268
32093,975,1852
32094,2150,1590
32095,4765,775
32096,1561,1195
32097,2376,590
32098,3995,2254
32099,566,112
32100,972,800
32101,4326,324
32102,2084,189
32103,716,56
32104,3023,1340
32105,2638,1529
32106,3352,118
32107,4127,114
32108,2301,1355
32109,4791,94
32110,3326,2280
32111,2168,1765
32112,394,944
32113,4814,263
32114,2290,1196
32115,2782,1658
32116,758,2160
32117,742,1627
32118,732,939
32119,1167,867
32120,446,353
32121,2065,2017
32122,107,887
32123,1638,452
32124,3250,191
32125,3157,0
32126,1362,554
32127,2317,2238
32128,1567,1740
32129,4583,1269
32130,1752,739
32131,2259,2233
32132,1199,2253
32133,1533,1375
32134,2118,2028
32135,3931,525
32136,3774,2039
32137,2738,955
32138,558,1698
32139,1831,1971
32140,2092,26
32141,2641,1022
32142,4292,689
32143,2430,21
32144,744,1299
32145,4200,1100
32146,2118,2378
32147,4160,1701
32148,1140,518
32149,2358,1838
32150,431,21
32151,4790,1316
32152,3076,1300
32153,1631,1509
32154,4313,1916
32155,3261,299
32156,1785,2326
32157,3741,1875
32158,4343,977
32159,4405,1855
32160,3283,997
32161,1098,1396
32162,79,1417
32163,222,1725
32164,170,1535
32165,1500,2342
32166,3955,114
32167,808,1068
32168,3151,2009
32169,1243,996
32170,2019,463
32171,2464,1079
32172,726,2167
32173,1495,1217
32174,4602,864
32175,2864,1952
32176,987,252
32177,1437,1212
32178,4880,54
32179,4484,54
32180,921,1884
32181,4611,2081
32182,3916,536
32183,373,1490
32184,1486,350
32185,4848,1270
32186,4218,874
32187,4315,1938
32188,4302,198
32189,4255,352
32190,3880,1229
32191,3971,1347
32192,3307,1367
32193,2901,679
32194,4710,1686
32195,3650,1706
32196,441,1782
32197,2316,1157
32198,1241,145
32199,1748,1639
32200,1216,1778
32201,2711,1686
32202,2339,1326
32203,3834,1234
32204,3201,567
32205,4727,2040
32206,3980,305
32207,1846,1393
32208,4236,2180
32209,4570,1302
32210,1394,360
32211,4051,2400
32212,3984,1178
32213,3564,2312
32214,2103,1988
32215,3481,557
32216,205,1663
32217,3424,23
32218,1022,1131
32219,2350,1865
32220,1615,2399
32221,868,664
32222,2258,2276
32223,4534,1995
32224,2734,2205
32225,2631,1326
32226,2469,244
32227,201,1140
32228,700,2019
32229,268,110
32230,2570,1050
32231,677,1069
32232,1909,1341
32233,2279,120
32234,484,674
32235,3151,49
32236,3252,855
32237,4150,2005
32238,3687,783
32239,3647,1384
32240,1103,130
32241,4176,193
32242,2027,249
32243,4704,312
32244,2930,1743
32245,3370,2015
32246,2331,660
32247,2680,814
32248,89,525
32249,4175,722
32250,3992,1015
32251,1745,536
32252,284,212
32253,4761,65
32254,1275,1553
32255,3052,393
32256,3833,204
32257,2145,1409
32258,4249,1610
32259,1803,891
32260,2973,285
32261,323,2045
32262,328,2389
32263,3659,1744
32264,2475,8
32265,3008,471
32266,1563,680
32267,451,510
32268,3469,1620
32269,1875,1706
32270,2250,829
32271,2168,1928
32272,811,1984
32273,759,1794
32274,2707,2236
32275,3997,958
32276,1246,1912
32277,1626,1379
32278,850,1912
32279,3025,825
32280,2897,1579
32281,2938,1580
32282,3826,2042
32283,2967,820
32284,568,2199
32285,1707,28
32286,2610,1522
32287,3544,2329
32288,841,1045
32289,1830,2313
32290,651,921
32291,4455,2186
32292,4763,87
32293,1083,578
32294,3826,2392
32295,2324,2067
32296,3666,979
32297,3270,979
32298,2200,311
32299,3631,1924
32300,4123,2386
32301,4785,785
32302,17,2
32303,3472,1113
32304,3781,1868
32305,3709,302
32306,646,927
32307,1143,1733
32308,4555,1262
32309,2072,2196
32310,3247,1934
32311,1325,461
32312,299,65
32313,2596,661
32314,4309,1206
32315,4314,1550
32316,3765,584
32317,3519,528
32318,2367,959
32319,2898,1349
32320,3572,539
32321,4470,1689
32322,1772,749
32323,2577,1708
32324,3069,2170
32325,142,1178
32326,4712,1222
32327,2798,364
32328,3409,2238
32329,4193,2320
32330,482,1246
32331,2039,2032
32332,1419,2324
32333,2193,1718
32334,2172,841
32335,80,1431
32336,4557,1284
32337,1846,856
32338,132,840
32339,1780,236
32340,718,183
32341,3051,436
32342,2660,780
32343,4618,1910
32344,819,989
32345,3654,2392
32346,4024,1171
32347,789,2278
32348,3451,1309
32349,1615,1862
32350,2482,1447
32351,2363,35
32352,3799,1992
32353,4286,2110
32354,2830,2130
32355,3148,719
32356,3702,2059
32357,2733,2197
32358,2666,975
32359,652,2165
32360,3749,1124
32361,2350,1678
32362,3196,386
32363,641,2006
32364,4498,2151
32365,4195,2342
32366,3529,2289
32367,361,2366
32368,4098,2409
32369,1192,2294
32370,724,728
32371,1505,539
32372,1945,811
32373,3893,1253
32374,606,2170
32375,914,71
32376,1812,1221
32377,4582,1475
32378,4246,2280
32379,4559,525
32380,1371,1478
32381,3616,1884
32382,4330,473
32383,2525,339
32384,725,549
32385,1587,2042
32386,3555,1608
32387,2834,1094
32388,4355,2223
32389,4826,1808
32390,1366,353
32391,2305,1504
32392,839,836
32393,4849,1977
32394,3049,2187
32395,2617,278
32396,2515,1
32397,1183,1777
32398,4197,1233
32399,3999,494
32400,3259,684
32401,1387,1580
32402,2832,1371
32403,3694,612
32404,891,1376
32405,1321,960
32406,2485,509
32407,2936,970
32408,3839,212
32409,3505,1090
32410,4742,1706
32411,2536,1228
32412,3649,88
32413,3752,967
32414,2348,1177
32415,393,318
32416,754,1263
32417,3142,1977
32418,4014,1906
32419,163,795
32420,2152,1238
32421,758,2136
32422,1594,2408
32423,1871,996
32424,4147,715
32425,3175,582
32426,273,1340
32427,3958,1193
32428,2666,2398
32429,3760,454
32430,4890,1927
32431,1862,129
32432,3861,1260
32433,673,2213
32434,4195,382
32435,1832,1418
32436,2319,1536
32437,524,2090
32438,2754,1464
32439,2759,1808
32440,1329,797
32441,238,1504
32442,1425,1259
32443,334,1966
32444,4071,2009
32445,1258,2085
32446,4467,2009
32447,3842,1957
32448,3852,393
32449,1672,1136
32450,2073,1480
32451,4693,1009
32452,42,1565
32453,565,1340
32454,3247,1747
32455,3909,146
32456,812,1217
32457,1531,150
32458,3093,1280
32459,3031,402
32460,1632,956
32461,2525,1762
32462,1059,1094
32463,4744,947
32464,3397,1691
32465,2309,417
32466,3248,1568
32467,1685,967
32468,284,1448
32469,3013,1701
32470,2956,1167
32471,776,1910
32472,2581,2044
32473,1617,274
32474,3012,2230
32475,1515,2249
32476,2609,305
32477,2213,305
32478,372,514
32479,4448,23
32480,367,170
32481,3973,696
32482,4757,778
32483,1230,2265
32484,834,2265
32485,1111,853
32486,4853,1240
32487,4408,624
32488,1050,577
32489,4193,2133
32490,3443,1635
32491,511,299
32492,2097,1069
32493,1696,725
32494,3690,1512
32495,4459,562
32496,4742,96
32497,3465,2333
32498,3434,768
32499,4767,1846
32500,2845,373
32501,1410,1270
32502,537,1870
32503,3892,865
32504,1214,1331
32505,3891,1394
32506,4261,173
32507,584,935
32508,4362,979
32509,1000,59
32510,3856,2339
32511,1497,865
32512,2825,1599
32513,283,418
32514,1174,1151
32515,3605,1939
32516,2447,1424
32517,2473,393
32518,186,485
32519,1889,342
32520,2355,1835
32521,4683,1744
32522,3170,1230
32523,3103,8
32524,2258,1902
32525,329,12
32526,771,357
32527,3940,882
32528,602,1110
32529,572,2399
32530,2874,1087
32531,1007,2327
32532,2098,1620
32533,1843,347
32534,910,2394
32535,4580,1215
32536,3618,1770
32537,1345,2322
32538,1710,757
32539,2780,1425
32540,2217,2251
32541,746,1239
32542,4488,1626
32543,3212,301
32544,1469,1045
32545,3396,610
32546,218,2251
32547,4175,348
32548,997,1989
32549,276,1475
32550,4044,831
32551,3765,2170
32552,2242,968
32553,1172,300
32554,2674,625
32555,3176,1775
32556,1213,301
32557,1543,1933
32558,2926,846
32559,2885,845
32560,3356,430
32561,4192,702
32562,3514,1770
32563,2382,224
32564,3285,1718
32565,24,1604
32566,2660,1666
32567,1951,1169
32568,2009,393
32569,1264,239
32570,18,1789
32571,4099,1642
32572,3091,1852
32573,859,2405
32574,3849,713
32575,4711,2206
32576,908,1543
32577,2403,1451
32578,4684,1514
32579,4056,1191
32580,3614,846
32581,1722,1467
32582,4420,2407
32583,2496,861
32584,4055,939
32585,3426,1145
32586,3667,76
32587,4168,1755
32588,4309,482
32589,4128,2356
32590,4842,945
32591,4647,477
32592,42,1378
32593,2812,1632
32594,3252,1904
32595,4119,1489
32596,812,1030
32597,1156,840
32598,3986,1899
32599,1575,235
32600,262,563
32601,126,702
32602,1029,2196
32603,2469,1643
32604,196,2195
32605,2806,1036
32606,1868,487
32607,2141,1585
32608,3519,154
32609,716,918
32610,781,2067
32611,2869,1735
32612,2520,1581
32613,4101,2007
32614,3700,1663
32615,1546,1375
32616,1432,307
32617,4109,370
32618,4439,2002
32619,2228,1180
32620,4356,247
32621,1543,323
32622,3905,2068
32623,173,117
32624,1415,1077
32625,1019,1077
32626,737,2145
32627,3347,986
32628,1172,2073
32629,1136,2416
32630,4193,1946
32631,3839,1448
32632,2717,590
32633,1977,780
32634,2347,1811
32635,1414,1606
32636,4409,258
32637,3127,2151
32638,4900,1249
32639,1410,1083
32640,2246,1355
32641,2394,2007
32642,537,1683
32643,475,805
32644,4425,1141
32645,4845,37
32646,3451,935
32647,3389,57
32648,257,2043
32649,4727,1479
32650,3727,52
32651,2236,1017
32652,1171,693
32653,2394,2357
32654,1277,1843
32655,2385,359
32656,2482,1423
32657,4722,1485
32658,1303,31
32659,2315,2249
32660,2258,1715
32661,3256,817
32662,3282,2038
32663,1197,2264
32664,1531,1386
32665,4299,1567
32666,4734,1495
32667,267,2330
32668,1463,693
32669,2908,484
32670,2842,2116
32671,2181,155
32672,4822,561
32673,1243,1858
32674,3058,428
32675,2607,2249
32676,4673,438
32677,63,995
32678,3229,1249
32679,443,462
32680,3330,2055
32681,1766,852
32682,1771,1196
32683,1086,339
32684,4443,915
32685,4885,1260
32686,3955,1326
32687,2489,658
32688,20,544
32689,4264,2081
32690,4684,977
32691,983,591
32692,2168,1017
32693,4162,1804
32694,4532,583
32695,3506,187
32696,1049,2342
32697,3967,1336
32698,3659,1183
32699,828,653
32700,2409,1079
32701,2440,392
32702,614,1633
32703,1070,186
32704,3372,1126
32705,3752,593
32706,4096,403
32707,4208,1398
32708,1783,1556
32709,384,2110
32710,2655,1485
32711,1624,745
32712,1035,350
32713,1871,622
32714,1907,279
32715,1401,1639
32716,938,417
32717,4011,480
32718,4570,2164
32719,3974,1352
32720,2231,2096
32721,3521,818
32722,2888,151
32723,1509,2111
32724,801,304
32725,1365,2332
32726,4847,1102
32727,1191,489
32728,79,319
32729,3472,552
32730,2412,572
32731,4748,1096
32732,3005,1840
32733,42,1191
32734,4550,357
32735,2698,377
32736,1294,587
32737,4062,768
32738,2816,2318
32739,1962,2214
32740,3340,783
32741,3335,439
32742,4233,1589
32743,33,324
32744,157,2080
32745,1438,716
32746,2217,454
32747,4514,1050
32748,3151,1261
32749,1557,1347
32750,1648,1465
32751,3950,2405
32752,218,454
32753,2479,1393
32754,1121,1948
32755,1455,1070
32756,2194,1409
32757,3850,1420
32758,803,326
32759,235,808
32760,1850,818
32761,599,2024
32762,4153,2360
32763,353,1968
32764,4711,409
32765,4465,1134
32766,1431,1773
32767,2251,1512
32768,1496,670
32769,3892,491
32770,2126,285
32771,4662,143
32772,2989,2380
32773,3359,1159
32774,1184,2246
32775,1497,491
32776,401,854
32777,2395,1641
32778,1268,439
32779,4666,1016
32780,1801,902
32781,2140,368
32782,4385,774
32783,431,696
32784,2738,1980
32785,1606,434
32786,2545,1585
32787,1667,1841
32788,2381,430
32789,3258,703
32790,2683,768
32791,945,1856
32792,3032,922
32793,1346,2200
32794,2042,183
32795,4005,1657
32796,1632,2005
32797,1283,1851
32798,1596,96
32799,694,1456
32800,3340,2206
32801,1817,1004
32802,3145,1738
32803,2116,1071
32804,655,747
32805,4335,256
32806,3146,2340
32807,3418,584
32808,2516,1944
32809,2310,1287
32810,2797,1405
32811,3516,338
32812,1763,394
32813,3664,990
32814,3232,1333
32815,4849,1416
32816,362,875
32817,2638,594
32818,4637,1725
32819,3140,1744
32820,1111,1902
32821,2353,610
32822,1366,142
32823,3475,687
32824,3774,754
32825,4276,1904
32826,3187,1940
32827,4310,1488
32828,2562,1888
32829,3286,1165
32830,533,2046
32831,2866,2299
32832,3554,1919
32833,1400,1631
32834,4794,554
32835,850,1164
32836,1629,902
32837,1938,1657
32838,4230,1909
32839,4168,1031
32840,2394,210
32841,1344,918
32842,1826,692
32843,3959,103
32844,3727,1288
32845,4009,220
32846,3487,1047
32847,4385,2197
32848,1338,1103
32849,2231,1909
32850,1047,173
32851,3015,1991
32852,4565,852
32853,3825,1042
32854,4353,1161
32855,1791,856
32856,2381,1853
32857,2821,2125
32858,2749,559
32859,4037,1864
32860,4009,570
32861,2610,1124
32862,571,594
32863,3334,431
32864,3688,929
32865,2284,1139
32866,1351,934
32867,3992,1340
32868,4651,976
32869,1072,2273
32870,1776,174
32871,3653,1874
32872,1223,1688
32873,760,466
32874,3088,375
32875,233,949
32876,3960,304
32877,2900,324
32878,1007,343
32879,3464,2352
32880,4295,2280
32881,821,1873
32882,4329,1864
32883,1839,873
32884,3053,539
32885,1716,1971
32886,4443,2151
32887,4515,1465
32888,1671,1447
32889,3101,206
32890,988,2171
32891,3942,822
32892,4532,1819
32893,2673,1422
32894,2009,1442
32895,240,965
32896,4777,1623
32897,4433,1813
32898,1511,1165
32899,4126,350
32900,2625,627
32901,2224,283
32902,851,2058
32903,1286,1986
32904,3055,211
32905,229,25
32906,783,1365
32907,3429,2115
32908,2066,2326
32909,595,1314
32910,71,2068
32911,441,847
32912,4543,1577
32913,2394,1633
32914,841,1720
32915,4855,351
32916,1954,580
32917,154,790
32918,4722,761
32919,1143,2058
32920,3693,94
32921,2333,576
32922,3288,2260
32923,2794,1725
32924,924,442
32925,2257,1520
32926,4011,2066
32927,2046,519
32928,1702,709
32929,1072,313
32930,165,1329
32931,3380,2199
32932,4118,1936
32933,2156,1064
32934,2495,530
32935,4776,593
32936,3093,2142
32937,1575,1284
32938,3705,454
32939,1103,2228
32940,1530,1541
32941,444,340
32942,3713,1069
32943,4303,2066
32944,1228,422
32945,540,802
32946,1777,1418
32947,4889,1409
32948,2357,946
32949,552,812
32950,3203,1906
32951,505,966
32952,2792,874
32953,1716,361
32954,4003,269
32955,4049,614
32956,3419,218
32957,1234,617
32958,117,103
32959,2572,2039
32960,2551,1162
32961,1577,956
32962,2351,350
32963,1444,1366
32964,3157,1911
32965,956,1777
32966,4461,1497
32967,4409,1307
32968,3628,1496
32969,2029,1238
32970,1067,1793
32971,1723,377
32972,2246,2404
32973,780,1736
32974,4173,1969
32975,4553,1436
32976,3051,1111
32977,4897,1246
32978,3147,1573
32979,4327,1655
32980,3430,1107
32981,2031,1661
32982,123,648
32983,2425,1588
32984,3149,865
32985,4573,2061
32986,3953,101
32987,2614,1460
32988,4656,783
32989,4129,1266
32990,4621,1728
32991,4467,1261
32992,3068,1815
32993,4071,1261
32994,1540,269
32995,3878,866
32996,2474,1076
32997,571,407
32998,42,817
32999,4216,861
33000,575,1280
33001,4525,1616
33002,377,541
33003,4427,1081
33004,2689,2169
33005,2653,260
33006,3561,2098
33007,3833,342
33008,3611,2215
33009,2525,1014
33010,4832,2298
33011,1186,2373
33012,1103,618
33013,2899,666
33014,3642,747
33015,1503,1491
33016,2833,2298
33017,922,233
33018,3726,71
33019,111,1711
33020,4567,687
33021,3670,2391
33022,2827,1702
33023,2290,1497
33024,1240,2205
33025,4561,872
33026,4352,2196
33027,2972,1302
33028,3844,1231
33029,4563,164
33030,1041,1995
33031,1419,1389
33032,1916,2195
33033,2783,1780
33034,2645,1846
33035,1189,1866
33036,1898,111
33037,1502,111
33038,4267,2273
33039,3398,363
33040,595,1127
33041,2298,984
33042,61,1193
33043,1339,1810
33044,2545,861
33045,4040,769
33046,1149,1686
33047,2245,1323
33048,221,1825
33049,1179,1528
33050,220,2354
33051,1268,65
33052,3329,2074
33053,1051,2282
33054,1775,1559
33055,3702,1124
33056,457,1543
33057,4441,1463
33058,3811,1067
33059,3415,1067
33060,669,2365
33061,2355,1087
33062,3912,1873
33063,540,265
